Removed Member From Class: ClassName=CU2_1_P1_Nets Member=3V3
Removed Member From Class: ClassName=CU2_1_P2_Nets Member=3V3
Removed Member From Class: ClassName=CU2_1_P3_Nets Member=3V3
Removed Member From Class: ClassName=CU2_2_P1_Nets Member=3V3
Removed Member From Class: ClassName=CU2_2_P2_Nets Member=3V3
Removed Member From Class: ClassName=CU2_2_P3_Nets Member=3V3
Removed Member From Class: ClassName=U2_P1_Nets Member=3V3
Removed Member From Class: ClassName=U2_P2_Nets Member=3V3
Removed Member From Class: ClassName=U2_P3_Nets Member=3V3
Added Pin To Net: NetName=VDD Pin=CU2_1_P1-1
Added Pin To Net: NetName=VDD Pin=CU2_1_P2-1
Added Pin To Net: NetName=VDD Pin=CU2_1_P3-1
Added Pin To Net: NetName=VDD Pin=CU2_2_P1-1
Added Pin To Net: NetName=VDD Pin=CU2_2_P2-1
Added Pin To Net: NetName=VDD Pin=CU2_2_P3-1
Added Pin To Net: NetName=VDD Pin=U2_P1-8
Added Pin To Net: NetName=VDD Pin=U2_P2-8
Added Pin To Net: NetName=VDD Pin=U2_P3-8
Added Member To Class: ClassName=C3_Nets Member=Wire 12V
Added Member To Class: ClassName=C4_Nets Member=Wire 12V
Added Member To Class: ClassName=CU1_1_P1_Nets Member=Wire 12V
Added Member To Class: ClassName=CU1_1_P2_Nets Member=Wire 12V
Added Member To Class: ClassName=CU1_1_P3_Nets Member=Wire 12V
Added Member To Class: ClassName=CU1_2_P1_Nets Member=Wire 12V
Added Member To Class: ClassName=CU1_2_P2_Nets Member=Wire 12V
Added Member To Class: ClassName=CU1_2_P3_Nets Member=Wire 12V
Added Member To Class: ClassName=R1_Nets Member=Wire 12V
Added Member To Class: ClassName=RB_P1_Nets Member=Wire 12V
Added Member To Class: ClassName=RB_P2_Nets Member=Wire 12V
Added Member To Class: ClassName=RB_P3_Nets Member=Wire 12V
Added Member To Class: ClassName=U1_P1_Nets Member=Wire 12V
Added Member To Class: ClassName=U1_P2_Nets Member=Wire 12V
Added Member To Class: ClassName=U1_P3_Nets Member=Wire 12V
Added Member To Class: ClassName=U4_Nets Member=Wire 12V
Added Member To Class: ClassName=CU2_1_P1_Nets Member=Wire VDD
Added Member To Class: ClassName=CU2_1_P2_Nets Member=Wire VDD
Added Member To Class: ClassName=CU2_1_P3_Nets Member=Wire VDD
Added Member To Class: ClassName=CU2_2_P1_Nets Member=Wire VDD
Added Member To Class: ClassName=CU2_2_P2_Nets Member=Wire VDD
Added Member To Class: ClassName=CU2_2_P3_Nets Member=Wire VDD
Added Member To Class: ClassName=U2_P1_Nets Member=Wire VDD
Added Member To Class: ClassName=U2_P2_Nets Member=Wire VDD
Added Member To Class: ClassName=U2_P3_Nets Member=Wire VDD
