Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~FEV-60_Motor_uC.PrjPcb|ReportField=ProjectFullPath~D:\altium\SeniorDesign\Hardware\FEV-60_Motor_uC\FEV-60_Motor_uC.PrjPcb|ReportField=Title~Bill of Materials For Project [FEV-60_Motor_uC.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~10:26:27 PM|ReportField=ReportDate~11/6/2019|ReportField=ReportDateTime~11/6/2019 10:26:27 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~37|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~11/6/2019|ReportField=CurrentTime~10:17:38 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\altium\SeniorDesign\Hardware\FEV-60_Motor_uC\FEV-60_Motor_uC.SchDoc|ReportField=DocumentName~FEV-60_Motor_uC.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~11/6/2019|ReportField=Organization~|ReportField=ProjectName~FEV-60_Motor_uC.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~FEV-60_Motor_uC.PrjPcb|ReportField=DataSourceFullPath~D:\altium\SeniorDesign\Hardware\FEV-60_Motor_uC\FEV-60_Motor_uC.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|TD-0341 [RESET/Black]|SE PUSHBUTTON|B1|1
2|USER (Blue)|SE PUSHBUTTON|B2|1
3|Cap Semi|Capacitor (Semiconductor SIM Model)|C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12|12
4|Header 19X2|Header, 19-Pin, Dual row|CN1, CN2|2
5|Header 6X1|Header, 6-Pin, Single row|CN3|1
6|Header 2|Header, 2-Pin|CN4, CN5|2
7|Header 3|Header, 3-Pin|CN6|1
8|STPS2L30A|STPS2L30A|D1|1
9|HSMS-C190|LED Uni-Color Red, 52 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel|LD1, LD2|2
10|Res3|Resistor|R?BEAD, R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11|12
11|LD1117S33TR||U1|1
12|MCU_LQFP64||U2|1
